
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2025-04-20 13:53:52 /tenant/register ...................................................... ~ 1s
  2025-04-20 13:53:53 /build/assets/app-DbTWgVAB.css .................................... ~ 0.28ms
  2025-04-20 13:53:53 /build/assets/app-Bo-u61x1.js ..................................... ~ 6.02ms
  2025-04-20 13:53:53 /favicon.ico ...................................................... ~ 0.19ms
  2025-04-20 13:52:09 ................................................................... ~ 2m 10s
  2025-04-20 13:55:43 /tenant/register ...................................................... ~ 1s
  2025-04-20 13:55:44 /build/assets/app-DbTWgVAB.css .................................... ~ 0.14ms
  2025-04-20 13:55:44 /build/assets/app-Bo-u61x1.js ..................................... ~ 1.10ms
  2025-04-20 13:55:44 /favicon.ico ...................................................... ~ 0.33ms
  2025-04-20 13:56:40 /tenant/register ...................................................... ~ 2s
  2025-04-20 13:56:43 /tenant/register/success .............................................. ~ 1s
  2025-04-20 13:56:44 /build/assets/app-DbTWgVAB.css .................................... ~ 0.30ms
  2025-04-20 13:56:44 /build/assets/app-Bo-u61x1.js ..................................... ~ 2.96ms
  2025-04-20 13:56:44 /favicon.ico ...................................................... ~ 0.21ms
  2025-04-20 13:57:00 /favicon.ico ...................................................... ~ 0.72ms
  2025-04-20 13:57:01 /favicon.ico ...................................................... ~ 0.27ms
  2025-04-20 13:57:01 /favicon.ico ...................................................... ~ 0.19ms
  2025-04-20 13:57:09 /casisang-pageant/dashboard ........................................... ~ 1s
  2025-04-20 13:57:10 /tenant/redirect-login ................................................ ~ 1s
  2025-04-20 13:57:11 / ............................................................... ~ 501.98ms
  2025-04-20 13:57:12 /tenant/login ......................................................... ~ 2s
  2025-04-20 13:57:13 /build/assets/app-DbTWgVAB.css .................................... ~ 0.26ms
  2025-04-20 13:57:13 /build/assets/app-Bo-u61x1.js ..................................... ~ 2.15ms
  2025-04-20 13:57:14 /favicon.ico ...................................................... ~ 0.17ms
  2025-04-20 13:57:24 /tenant/login ......................................................... ~ 1s
  2025-04-20 13:57:25 /build/assets/app-DbTWgVAB.css .................................... ~ 0.22ms
  2025-04-20 13:57:25 /build/assets/app-Bo-u61x1.js ..................................... ~ 2.01ms
  2025-04-20 13:57:25 /favicon.ico ...................................................... ~ 0.14ms
  2025-04-20 13:58:31 /tenant/login ......................................................... ~ 2s
  2025-04-20 13:58:33 /malaybalay-pageant/dashboard ................................... ~ 512.99ms
  2025-04-20 13:58:34 /tenant/redirect-login ................................................ ~ 1s
  2025-04-20 13:58:35 / ............................................................... ~ 512.90ms
  2025-04-20 13:58:36 /tenant/login ......................................................... ~ 1s
  2025-04-20 13:58:37 /build/assets/app-DbTWgVAB.css .................................... ~ 0.30ms
  2025-04-20 13:58:37 /build/assets/app-Bo-u61x1.js .................................... ~ 10.53ms
  2025-04-20 13:58:37 /favicon.ico ...................................................... ~ 0.28ms
  2025-04-20 13:59:08 /tenant/login ......................................................... ~ 2s
  2025-04-20 13:59:10 /build/assets/app-DbTWgVAB.css .................................... ~ 0.10ms
  2025-04-20 13:59:10 /build/assets/app-Bo-u61x1.js ..................................... ~ 1.16ms
  2025-04-20 13:59:10 /favicon.ico ...................................................... ~ 0.09ms
  2025-04-20 13:59:29 /tenant/login ......................................................... ~ 2s
  2025-04-20 13:59:31 /malaybalay-pageant/dashboard ................................... ~ 513.72ms
  2025-04-20 13:59:32 /tenant/redirect-login ................................................ ~ 1s
  2025-04-20 13:59:32 / ............................................................... ~ 510.10ms
  2025-04-20 13:59:33 /tenant/login ......................................................... ~ 1s
  2025-04-20 13:59:34 /build/assets/app-DbTWgVAB.css .................................... ~ 0.27ms
  2025-04-20 13:59:34 /build/assets/app-Bo-u61x1.js ..................................... ~ 2.02ms
  2025-04-20 13:59:34 /favicon.ico ...................................................... ~ 0.14ms
  2025-04-20 13:59:45 /tenant/login ......................................................... ~ 1s
  2025-04-20 13:59:47 /casisang-pageant/dashboard ........................................... ~ 1s
  2025-04-20 13:59:48 /tenant/redirect-login ................................................ ~ 1s
  2025-04-20 13:59:49 / ............................................................... ~ 509.90ms
  2025-04-20 13:59:50 /tenant/login ......................................................... ~ 1s
  2025-04-20 13:59:50 /build/assets/app-DbTWgVAB.css .................................... ~ 0.20ms
  2025-04-20 13:59:50 /build/assets/app-Bo-u61x1.js ..................................... ~ 0.17ms
  2025-04-20 13:59:51 /favicon.ico ...................................................... ~ 0.17ms
  2025-04-20 14:02:42 /tenant/login ......................................................... ~ 2s
  2025-04-20 14:02:44 /build/assets/app-DbTWgVAB.css .................................... ~ 0.14ms
  2025-04-20 14:02:44 /build/assets/app-Bo-u61x1.js ..................................... ~ 1.06ms
  2025-04-20 14:02:44 /favicon.ico ...................................................... ~ 0.08ms
  2025-04-20 14:02:46 /admin/login .......................................................... ~ 1s
  2025-04-20 14:02:48 /admin/login .................................................... ~ 504.88ms
  2025-04-20 14:02:48 /favicon.ico ...................................................... ~ 0.10ms
  2025-04-20 14:02:50 /tenant/login ......................................................... ~ 1s
  2025-04-20 14:02:52 /build/assets/app-DbTWgVAB.css .................................... ~ 0.35ms
  2025-04-20 14:02:52 /build/assets/app-Bo-u61x1.js ..................................... ~ 0.10ms
  2025-04-20 14:02:52 /favicon.ico ...................................................... ~ 0.28ms
  2025-04-20 14:03:03 /tenant/login ......................................................... ~ 2s
  2025-04-20 14:03:05 /malaybalay-pageant/dashboard ......................................... ~ 1s
  2025-04-20 14:03:05 /tenant/redirect-login .......................................... ~ 512.00ms
  2025-04-20 14:03:06 / ..................................................................... ~ 1s
  2025-04-20 14:03:07 /tenant/login ................................................... ~ 500.13ms
  2025-04-20 14:03:08 /build/assets/app-DbTWgVAB.css .................................... ~ 0.33ms
  2025-04-20 14:03:08 /build/assets/app-Bo-u61x1.js ..................................... ~ 2.17ms
  2025-04-20 14:03:08 /favicon.ico ...................................................... ~ 0.17ms
  2025-04-20 14:06:34 /tenant/login ......................................................... ~ 1s
  2025-04-20 14:06:35 /build/assets/app-DbTWgVAB.css .................................... ~ 0.34ms
  2025-04-20 14:06:35 /build/assets/app-Bo-u61x1.js ..................................... ~ 6.74ms
  2025-04-20 14:06:35 /favicon.ico ...................................................... ~ 0.23ms
  2025-04-20 14:06:51 /tenant/login ......................................................... ~ 1s
  2025-04-20 14:06:53 /malaybalay-pageant/dashboard ......................................... ~ 9s
  2025-04-20 14:08:09 /malaybalay-pageant/dashboard ......................................... ~ 9s
  2025-04-20 14:09:36 /malaybalay-pageant/dashboard ......................................... ~ 8s
  2025-04-20 14:10:54 /malaybalay-pageant/dashboard ......................................... ~ 8s
  2025-04-20 14:13:15 / ..................................................................... ~ 2s
  2025-04-20 14:13:17 /test-admin-dashboard ................................................. ~ 1s
  2025-04-20 14:13:18 /favicon.ico ...................................................... ~ 0.11ms
  2025-04-20 14:13:59 /malaybalay-pageant/dashboard ......................................... ~ 7s
  2025-04-20 14:16:04 /malaybalay-pageant/dashboard ......................................... ~ 9s
  2025-04-20 14:16:13 /test-admin-dashboard ................................................. ~ 1s
  2025-04-20 14:16:14 /favicon.ico ...................................................... ~ 0.19ms
  2025-04-20 14:16:18 /malaybalay-pageant/dashboard ......................................... ~ 6s
  2025-04-20 14:17:24 /malaybalay-pageant/dashboard ......................................... ~ 1s
  2025-04-20 14:17:24 /malaybalay-pageant/user-dashboard .................................... ~ 1s
  2025-04-20 14:17:25 /malaybalay-pageant/dashboard ................................... ~ 508.41ms
  2025-04-20 14:17:26 /malaybalay-pageant/user-dashboard .................................... ~ 1s
  2025-04-20 14:17:27 /malaybalay-pageant/dashboard ......................................... ~ 1s
  2025-04-20 14:17:28 /malaybalay-pageant/user-dashboard .................................... ~ 1s
  2025-04-20 14:17:29 /malaybalay-pageant/dashboard ................................... ~ 512.75ms
  2025-04-20 14:17:30 /malaybalay-pageant/user-dashboard .................................... ~ 1s
  2025-04-20 14:17:30 /malaybalay-pageant/dashboard ................................... ~ 514.79ms
  2025-04-20 14:17:31 /malaybalay-pageant/user-dashboard .................................... ~ 1s
  2025-04-20 14:17:32 /malaybalay-pageant/dashboard ......................................... ~ 1s
  2025-04-20 14:17:33 /malaybalay-pageant/user-dashboard .............................. ~ 507.61ms
  2025-04-20 14:17:34 /malaybalay-pageant/dashboard ......................................... ~ 1s
  2025-04-20 14:17:35 /malaybalay-pageant/user-dashboard .............................. ~ 508.40ms
  2025-04-20 14:17:35 /malaybalay-pageant/dashboard ......................................... ~ 1s
  2025-04-20 14:17:36 /malaybalay-pageant/user-dashboard .................................... ~ 1s
  2025-04-20 14:17:37 /malaybalay-pageant/dashboard ................................... ~ 512.40ms
  2025-04-20 14:17:38 /malaybalay-pageant/user-dashboard .................................... ~ 1s
  2025-04-20 14:17:39 /malaybalay-pageant/dashboard ................................... ~ 513.65ms
  2025-04-20 14:17:40 /malaybalay-pageant/user-dashboard .................................... ~ 1s
  2025-04-20 14:17:41 /malaybalay-pageant/user-dashboard .................................... ~ 1s
  2025-04-20 14:17:42 /malaybalay-pageant/dashboard ......................................... ~ 1s
  2025-04-20 14:17:43 /malaybalay-pageant/user-dashboard .............................. ~ 507.02ms
  2025-04-20 14:17:44 /malaybalay-pageant/dashboard ......................................... ~ 1s
  2025-04-20 14:17:45 /malaybalay-pageant/user-dashboard .................................... ~ 1s
  2025-04-20 14:17:46 /malaybalay-pageant/dashboard ......................................... ~ 1s
  2025-04-20 14:17:47 /malaybalay-pageant/user-dashboard .................................... ~ 1s
  2025-04-20 14:17:48 /malaybalay-pageant/dashboard ......................................... ~ 1s
  2025-04-20 14:17:49 /malaybalay-pageant/user-dashboard .................................... ~ 1s
  2025-04-20 14:17:50 /malaybalay-pageant/dashboard ......................................... ~ 1s
  2025-04-20 14:17:51 /malaybalay-pageant/user-dashboard .................................... ~ 1s
  2025-04-20 14:17:52 /malaybalay-pageant/dashboard ................................... ~ 515.30ms
  2025-04-20 14:17:53 /malaybalay-pageant/user-dashboard .................................... ~ 1s
  2025-04-20 14:17:53 /malaybalay-pageant/dashboard ......................................... ~ 1s
  2025-04-20 14:17:54 /malaybalay-pageant/user-dashboard .............................. ~ 516.66ms
  2025-04-20 14:17:55 /malaybalay-pageant/dashboard ......................................... ~ 1s
  2025-04-20 14:17:56 /malaybalay-pageant/user-dashboard .................................... ~ 1s
  2025-04-20 14:17:57 /malaybalay-pageant/dashboard ......................................... ~ 1s
  2025-04-20 14:17:58 /malaybalay-pageant/user-dashboard .................................... ~ 1s
  2025-04-20 14:17:59 /malaybalay-pageant/dashboard ......................................... ~ 1s
  2025-04-20 14:18:01 /malaybalay-pageant/dashboard ......................................... ~ 1s
  2025-04-20 14:18:02 /malaybalay-pageant/user-dashboard .............................. ~ 512.02ms
  2025-04-20 14:18:03 /malaybalay-pageant/dashboard ......................................... ~ 1s
  2025-04-20 14:18:04 /malaybalay-pageant/user-dashboard .................................... ~ 1s
  2025-04-20 14:18:05 /malaybalay-pageant/dashboard ................................... ~ 514.55ms
  2025-04-20 14:18:06 /malaybalay-pageant/user-dashboard .................................... ~ 1s
  2025-04-20 14:18:07 /malaybalay-pageant/dashboard ......................................... ~ 1s
  2025-04-20 14:18:07 /malaybalay-pageant/user-dashboard .............................. ~ 497.99ms
  2025-04-20 14:18:08 /malaybalay-pageant/dashboard ......................................... ~ 1s
  2025-04-20 14:18:09 /malaybalay-pageant/user-dashboard .................................... ~ 1s
  2025-04-20 14:18:10 /malaybalay-pageant/dashboard ......................................... ~ 1s
  2025-04-20 14:18:11 /malaybalay-pageant/user-dashboard .............................. ~ 512.32ms
  2025-04-20 14:18:12 /malaybalay-pageant/dashboard ......................................... ~ 1s
  2025-04-20 14:18:13 /malaybalay-pageant/user-dashboard .................................... ~ 1s
  2025-04-20 14:18:13 /malaybalay-pageant/dashboard ................................... ~ 503.96ms
  2025-04-20 14:18:14 /malaybalay-pageant/user-dashboard .................................... ~ 1s
  2025-04-20 14:18:15 /malaybalay-pageant/dashboard ......................................... ~ 1s
  2025-04-20 14:18:16 /malaybalay-pageant/user-dashboard .............................. ~ 502.35ms
  2025-04-20 14:18:17 /malaybalay-pageant/dashboard ......................................... ~ 1s
  2025-04-20 14:18:18 /malaybalay-pageant/user-dashboard .............................. ~ 503.37ms
  2025-04-20 14:18:35 /malaybalay-pageant/user-dashboard .............................. ~ 515.71ms
  2025-04-20 14:18:36 /malaybalay-pageant/dashboard ......................................... ~ 1s
  2025-04-20 14:18:36 /malaybalay-pageant/user-dashboard .............................. ~ 512.47ms
  2025-04-20 14:18:37 /malaybalay-pageant/dashboard ......................................... ~ 1s
  2025-04-20 14:18:38 /malaybalay-pageant/user-dashboard .................................... ~ 1s
  2025-04-20 14:18:39 /malaybalay-pageant/dashboard ......................................... ~ 1s
  2025-04-20 14:18:40 /malaybalay-pageant/user-dashboard .............................. ~ 508.90ms
  2025-04-20 14:18:41 /malaybalay-pageant/dashboard ......................................... ~ 1s
  2025-04-20 14:18:41 /malaybalay-pageant/user-dashboard .............................. ~ 514.18ms
  2025-04-20 14:18:42 /malaybalay-pageant/dashboard ......................................... ~ 1s
  2025-04-20 14:18:43 /malaybalay-pageant/user-dashboard .................................... ~ 1s
  2025-04-20 14:18:44 /malaybalay-pageant/dashboard ................................... ~ 513.88ms
  2025-04-20 14:18:45 /malaybalay-pageant/user-dashboard .................................... ~ 1s
  2025-04-20 14:18:46 /malaybalay-pageant/dashboard ......................................... ~ 1s
  2025-04-20 14:18:47 /malaybalay-pageant/user-dashboard .................................... ~ 1s
  2025-04-20 14:18:48 /malaybalay-pageant/dashboard ......................................... ~ 1s
