
   INFO  Server running on [http://127.0.0.1:8001].  

  Press Ctrl+C to stop the server
  2025-04-20 13:31:16 /assets/fonts/simple-line-icons/Simple-Line-Icons.woff2?v=2.4.0 ... ~ 0.14ms
  2025-04-20 13:31:16 /assets/js/plugin/jquery.sparkline/jquery.sparkline.min.js ........ ~ 0.11ms
  2025-04-20 13:31:16 /assets/js/plugin/chart-circle/circles.min.js ..................... ~ 0.28ms
  2025-04-20 13:31:16 /assets/js/plugin/datatables/datatables.min.js .................... ~ 0.11ms
  2025-04-20 13:31:16 /assets/js/plugin/bootstrap-notify/bootstrap-notify.min.js ........ ~ 0.23ms
  2025-04-20 13:31:16 /assets/js/plugin/jsvectormap/jsvectormap.min.js .................. ~ 0.18ms
  2025-04-20 13:31:16 /assets/js/plugin/jsvectormap/world.js ............................ ~ 0.14ms
  2025-04-20 13:31:16 /assets/js/plugin/sweetalert/sweetalert.min.js .................... ~ 0.98ms
  2025-04-20 13:31:16 /assets/js/kaiadmin.min.js ........................................ ~ 0.13ms
  2025-04-20 13:31:16 /assets/js/setting-demo.js ........................................ ~ 0.14ms
  2025-04-20 13:31:16 /assets/js/demo.js ................................................ ~ 0.13ms
  2025-04-20 13:31:16 /assets/img/talha.jpg ............................................. ~ 0.13ms
  2025-04-20 13:31:16 /assets/img/profile2.jpg .......................................... ~ 0.14ms
  2025-04-20 13:31:16 /assets/img/profile.jpg ........................................... ~ 0.12ms
  2025-04-20 13:31:17 /assets/img/kaiadmin/favicon.ico .................................. ~ 0.13ms
  2025-04-20 13:31:30 /admin/admin/tenants/28/approve ....................................... ~ 3s
  2025-04-20 13:31:33 /admin/admin/tenants .................................................. ~ 1s
  2025-04-20 13:31:34 /assets/js/plugin/webfont/webfont.min.js .......................... ~ 0.40ms
  2025-04-20 13:31:34 /assets/css/bootstrap.min.css ................................... ~ 511.11ms
  2025-04-20 13:31:34 /assets/css/plugins.min.css ..................................... ~ 513.28ms
  2025-04-20 13:31:34 /assets/css/kaiadmin.min.css .................................... ~ 515.11ms
  2025-04-20 13:31:34 /assets/css/demo.css ............................................ ~ 515.25ms
  2025-04-20 13:31:34 /assets/img/kaiadmin/logo_light.svg ............................. ~ 517.86ms
  2025-04-20 13:31:34 /assets/img/jm_denis.jpg ........................................ ~ 519.69ms
  2025-04-20 13:31:34 /assets/css/fonts.min.css ......................................... ~ 0.77ms
  2025-04-20 13:31:34 /assets/img/chadengle.jpg ......................................... ~ 2.69ms
  2025-04-20 13:31:34 /assets/img/mlane.jpg ............................................. ~ 4.42ms
  2025-04-20 13:31:34 /assets/js/core/jquery-3.7.1.min.js ............................... ~ 6.15ms
  2025-04-20 13:31:34 /assets/js/core/popper.min.js ..................................... ~ 7.43ms
  2025-04-20 13:31:34 /assets/js/core/bootstrap.min.js .................................. ~ 8.93ms
  2025-04-20 13:31:34 /assets/js/plugin/jquery-scrollbar/jquery.scrollbar.min.js ........ ~ 8.27ms
  2025-04-20 13:31:34 /assets/js/plugin/chart.js/chart.min.js ........................... ~ 0.54ms
  2025-04-20 13:31:34 /assets/js/plugin/jquery.sparkline/jquery.sparkline.min.js ........ ~ 4.18ms
  2025-04-20 13:31:34 /assets/js/plugin/chart-circle/circles.min.js ..................... ~ 6.48ms
  2025-04-20 13:31:34 /assets/js/plugin/datatables/datatables.min.js ................... ~ 10.25ms
  2025-04-20 13:31:34 /assets/js/plugin/bootstrap-notify/bootstrap-notify.min.js ........ ~ 8.80ms
  2025-04-20 13:31:34 /assets/js/plugin/jsvectormap/jsvectormap.min.js .................. ~ 8.91ms
  2025-04-20 13:31:34 /assets/js/plugin/jsvectormap/world.js ........................... ~ 10.80ms
  2025-04-20 13:31:34 /assets/js/plugin/sweetalert/sweetalert.min.js .................... ~ 0.32ms
  2025-04-20 13:31:34 /assets/js/kaiadmin.min.js ........................................ ~ 1.31ms
  2025-04-20 13:31:34 /assets/js/setting-demo.js ........................................ ~ 5.84ms
  2025-04-20 13:31:34 /assets/js/demo.js ................................................ ~ 7.58ms
  2025-04-20 13:31:34 /assets/img/talha.jpg ............................................. ~ 9.52ms
  2025-04-20 13:31:34 /assets/img/profile2.jpg .......................................... ~ 6.02ms
  2025-04-20 13:31:34 /assets/img/profile.jpg ........................................... ~ 1.90ms
  2025-04-20 13:31:35 /assets/fonts/fontawesome/fa-solid-900.woff2 ...................... ~ 0.18ms
  2025-04-20 13:31:35 /assets/fonts/simple-line-icons/Simple-Line-Icons.woff2?v=2.4.0 ... ~ 1.23ms
  2025-04-20 13:31:35 /assets/fonts/fontawesome/fa-regular-400.woff2 .................... ~ 0.17ms
  2025-04-20 13:31:35 /assets/fonts/fontawesome/fa-brands-400.woff2 ..................... ~ 1.15ms
  2025-04-20 13:31:35 /assets/img/kaiadmin/favicon.ico .................................. ~ 0.52ms
  2025-04-20 13:32:32 /admin/admin/tenants .................................................. ~ 1s
  2025-04-20 13:32:33 /assets/js/plugin/webfont/webfont.min.js .......................... ~ 0.54ms
  2025-04-20 13:32:33 /assets/css/bootstrap.min.css ..................................... ~ 9.31ms
  2025-04-20 13:32:33 /assets/css/plugins.min.css ...................................... ~ 22.37ms
  2025-04-20 13:32:33 /assets/css/demo.css ............................................. ~ 28.23ms
  2025-04-20 13:32:33 /assets/css/kaiadmin.min.css ..................................... ~ 34.86ms
  2025-04-20 13:32:33 /assets/img/kaiadmin/logo_light.svg .............................. ~ 47.50ms
  2025-04-20 13:32:33 /assets/img/jm_denis.jpg ......................................... ~ 51.53ms
  2025-04-20 13:32:33 /assets/css/fonts.min.css ......................................... ~ 0.37ms
  2025-04-20 13:32:33 /assets/img/chadengle.jpg ........................................ ~ 11.36ms
  2025-04-20 13:32:33 /assets/img/mlane.jpg ............................................ ~ 16.09ms
