
   INFO  Server running on [http://127.0.0.1:8001].  

  Press Ctrl+C to stop the server
  2025-04-22 23:26:06 /admin/login .................................................... ~ 1s
  2025-04-22 23:26:06 / ............................................................... ~ 1s
  2025-04-22 23:26:07 /admin/login .................................................... ~ 1s
  2025-04-22 23:26:09 / ............................................................... ~ 1s
  2025-04-22 23:26:09 /build/assets/app-DbTWgVAB.css .................................. ~ 1s
  2025-04-22 23:26:10 /admin/login .................................................... ~ 1s
  2025-04-22 23:26:12 / ............................................................... ~ 1s
  2025-04-22 23:26:13 /admin/login .............................................. ~ 509.88ms
  2025-04-22 23:26:14 / ............................................................... ~ 1s
  2025-04-22 23:26:14 /admin/login .............................................. ~ 501.28ms
  2025-04-22 23:26:15 / ............................................................... ~ 1s
  2025-04-22 23:26:16 /admin/login .............................................. ~ 505.95ms
  2025-04-22 23:26:16 / ......................................................... ~ 510.36ms
  2025-04-22 23:26:17 /admin/login .................................................... ~ 1s
  2025-04-22 23:26:18 / ......................................................... ~ 514.07ms
  2025-04-22 23:26:20 / ......................................................... ~ 515.76ms
  2025-04-22 23:26:20 /admin/login .................................................... ~ 1s
  2025-04-22 23:26:21 / ............................................................... ~ 1s
  2025-04-22 23:26:22 /admin/login .............................................. ~ 512.25ms
  2025-04-22 23:26:23 / ............................................................... ~ 1s
  2025-04-22 23:26:24 /admin/login .................................................... ~ 1s
  2025-04-22 23:26:25 / ............................................................... ~ 2s
  2025-04-22 23:26:27 /admin/login .................................................... ~ 1s
  2025-04-22 23:26:28 / ......................................................... ~ 509.79ms
  2025-04-22 23:26:29 /admin/login .............................................. ~ 502.55ms
  2025-04-22 23:26:29 / ......................................................... ~ 507.25ms
  2025-04-22 23:26:30 /admin/login .................................................... ~ 1s
  2025-04-22 23:26:31 / ............................................................... ~ 1s
  2025-04-22 23:26:31 /admin/login .............................................. ~ 511.46ms
  2025-04-22 23:26:32 / ............................................................... ~ 2s
  2025-04-22 23:26:35 /admin/login .................................................... ~ 1s
  2025-04-22 23:26:36 / ......................................................... ~ 510.18ms
  2025-04-22 23:26:37 /admin/login .................................................... ~ 1s
  2025-04-22 23:26:38 / ............................................................... ~ 1s
