
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2025-04-22 23:14:57 /assets/js/core/bootstrap.min.js ............................ ~ 1.16ms
  2025-04-22 23:14:57 /assets/fonts/fontawesome/fa-solid-900.woff2 ................ ~ 0.50ms
  2025-04-22 23:14:57 /assets/fonts/fontawesome/fa-regular-400.woff2 .............. ~ 1.40ms
  2025-04-22 23:14:57 /assets/fonts/fontawesome/fa-brands-400.woff2 ............... ~ 0.19ms
  2025-04-22 23:14:57 /assets/js/plugin/jquery-scrollbar/jquery.scrollbar.min.js .. ~ 1.01ms
  2025-04-22 23:14:57 /assets/js/plugin/chart.js/chart.min.js ..................... ~ 0.16ms
  2025-04-22 23:14:57 /assets/fonts/simple-line-icons/Simple-Line-Icons.woff2?v=2.4.0  ~ 0.14ms
  2025-04-22 23:14:57 /assets/js/plugin/jquery.sparkline/jquery.sparkline.min.js .. ~ 0.13ms
  2025-04-22 23:14:57 /assets/js/plugin/chart-circle/circles.min.js ............... ~ 0.14ms
  2025-04-22 23:14:57 /assets/js/plugin/datatables/datatables.min.js .............. ~ 0.13ms
  2025-04-22 23:14:57 /assets/js/plugin/bootstrap-notify/bootstrap-notify.min.js .. ~ 0.13ms
  2025-04-22 23:14:57 /assets/js/plugin/jsvectormap/jsvectormap.min.js ............ ~ 0.18ms
  2025-04-22 23:14:57 /assets/js/plugin/jsvectormap/world.js ...................... ~ 0.88ms
  2025-04-22 23:14:57 /assets/js/plugin/sweetalert/sweetalert.min.js .............. ~ 0.13ms
  2025-04-22 23:14:57 /assets/js/kaiadmin.min.js .................................. ~ 0.13ms
  2025-04-22 23:14:57 /assets/js/setting-demo.js .................................. ~ 0.13ms
  2025-04-22 23:14:57 /assets/js/demo.js .......................................... ~ 0.21ms
  2025-04-22 23:14:57 /assets/img/talha.jpg ....................................... ~ 2.65ms
  2025-04-22 23:14:57 /assets/img/profile2.jpg .................................... ~ 0.16ms
  2025-04-22 23:14:57 /assets/img/profile.jpg ..................................... ~ 0.23ms
  2025-04-22 23:14:57 /assets/img/kaiadmin/favicon.ico ............................ ~ 0.17ms
  2025-04-22 23:15:26 /casisang-pageant/logout ........................................ ~ 2s
  2025-04-22 23:15:27 /tenant/login ................................................... ~ 3s
  2025-04-22 23:15:30 /build/assets/app-DbTWgVAB.css .............................. ~ 0.70ms
  2025-04-22 23:15:30 /build/assets/app-Bo-u61x1.js ............................... ~ 7.43ms
  2025-04-22 23:15:31 /favicon.ico ................................................ ~ 0.41ms
  2025-04-22 23:15:36 /tenant/login ................................................... ~ 1s
  2025-04-22 23:15:38 /tenant/login ................................................... ~ 1s
  2025-04-22 23:15:39 /build/assets/app-DbTWgVAB.css ............................ ~ 525.76ms
  2025-04-22 23:15:39 /build/assets/app-Bo-u61x1.js ............................. ~ 530.65ms
  2025-04-22 23:15:39 /favicon.ico ................................................ ~ 0.49ms
  2025-04-22 23:16:01 /tenant/login ................................................... ~ 1s
  2025-04-22 23:16:01 /tenant/login ............................................. ~ 501.14ms
  2025-04-22 23:16:02 /build/assets/app-DbTWgVAB.css .............................. ~ 0.28ms
  2025-04-22 23:16:02 /build/assets/app-Bo-u61x1.js ............................... ~ 2.77ms
  2025-04-22 23:16:03 /favicon.ico ................................................ ~ 0.27ms
  2025-04-22 23:16:08 /tenant/login ................................................... ~ 2s
  2025-04-22 23:16:11 /casisang-pageant/dashboard ..................................... ~ 2s
  2025-04-22 23:16:14 /assets/js/plugin/webfont/webfont.min.js .................... ~ 2.13ms
  2025-04-22 23:16:14 /assets/css/bootstrap.min.css ............................... ~ 0.19ms
  2025-04-22 23:16:14 /assets/css/plugins.min.css ................................. ~ 0.23ms
  2025-04-22 23:16:14 /assets/css/kaiadmin.min.css ................................ ~ 0.35ms
  2025-04-22 23:16:14 /assets/css/demo.css ....................................... ~ 16.02ms
  2025-04-22 23:16:14 /assets/img/kaiadmin/logo_light.svg ......................... ~ 2.73ms
  2025-04-22 23:16:14 /assets/css/fonts.min.css ................................... ~ 0.43ms
  2025-04-22 23:16:14 /assets/img/jm_denis.jpg .................................... ~ 2.90ms
  2025-04-22 23:16:14 /assets/img/chadengle.jpg ................................... ~ 5.00ms
  2025-04-22 23:16:14 /assets/js/core/jquery-3.7.1.min.js ......................... ~ 4.87ms
  2025-04-22 23:16:15 /assets/img/mlane.jpg ....................................... ~ 0.21ms
  2025-04-22 23:16:15 /assets/js/core/popper.min.js ............................... ~ 0.25ms
  2025-04-22 23:16:15 /assets/js/core/bootstrap.min.js ............................ ~ 0.39ms
  2025-04-22 23:16:15 /assets/js/plugin/jquery-scrollbar/jquery.scrollbar.min.js .. ~ 2.12ms
  2025-04-22 23:16:15 /assets/js/plugin/chart.js/chart.min.js ..................... ~ 3.27ms
  2025-04-22 23:16:15 /assets/js/plugin/jquery.sparkline/jquery.sparkline.min.js .. ~ 0.23ms
  2025-04-22 23:16:15 /assets/js/plugin/chart-circle/circles.min.js ............... ~ 4.02ms
  2025-04-22 23:16:15 /assets/js/plugin/datatables/datatables.min.js .............. ~ 0.20ms
  2025-04-22 23:16:15 /assets/js/plugin/bootstrap-notify/bootstrap-notify.min.js .. ~ 0.25ms
  2025-04-22 23:16:15 /assets/js/plugin/jsvectormap/jsvectormap.min.js ............ ~ 1.05ms
  2025-04-22 23:16:15 /assets/img/profile.jpg ..................................... ~ 1.91ms
  2025-04-22 23:16:15 /assets/js/plugin/jsvectormap/world.js ...................... ~ 4.26ms
  2025-04-22 23:16:15 /assets/fonts/simple-line-icons/Simple-Line-Icons.woff2?v=2.4.0  ~ 2.53ms
  2025-04-22 23:16:15 /assets/fonts/fontawesome/fa-solid-900.woff2 ................ ~ 4.08ms
  2025-04-22 23:16:15 /assets/fonts/fontawesome/fa-regular-400.woff2 .............. ~ 5.18ms
  2025-04-22 23:16:15 /assets/fonts/fontawesome/fa-brands-400.woff2 ............... ~ 6.19ms
  2025-04-22 23:16:15 /assets/js/plugin/sweetalert/sweetalert.min.js .............. ~ 0.25ms
  2025-04-22 23:16:15 /assets/js/kaiadmin.min.js .................................. ~ 0.17ms
  2025-04-22 23:16:15 /assets/js/setting-demo.js .................................. ~ 1.37ms
  2025-04-22 23:16:15 /assets/js/demo.js .......................................... ~ 3.53ms
  2025-04-22 23:16:15 /assets/img/profile2.jpg .................................... ~ 5.31ms
  2025-04-22 23:16:15 /assets/img/talha.jpg ...................................... ~ 17.76ms
  2025-04-22 23:16:40 /casisang-pageant/dashboard ..................................... ~ 1s
  2025-04-22 23:16:41 /assets/js/plugin/webfont/webfont.min.js .................... ~ 0.35ms
  2025-04-22 23:16:41 /assets/css/bootstrap.min.css ............................... ~ 0.85ms
  2025-04-22 23:16:41 /assets/css/demo.css ........................................ ~ 2.62ms
  2025-04-22 23:16:41 /assets/css/plugins.min.css ................................ ~ 18.13ms
  2025-04-22 23:16:41 /assets/css/kaiadmin.min.css ............................... ~ 22.25ms
  2025-04-22 23:16:41 /assets/img/kaiadmin/logo_light.svg ........................ ~ 23.75ms
  2025-04-22 23:16:41 /assets/img/jm_denis.jpg ................................... ~ 25.07ms
  2025-04-22 23:16:41 /assets/img/chadengle.jpg ................................... ~ 2.08ms
  2025-04-22 23:16:41 /assets/img/mlane.jpg ....................................... ~ 0.29ms
  2025-04-22 23:16:41 /assets/js/core/jquery-3.7.1.min.js ........................ ~ 17.37ms
  2025-04-22 23:16:41 /assets/css/fonts.min.css ................................... ~ 0.18ms
  2025-04-22 23:16:42 /assets/js/core/popper.min.js ............................... ~ 0.42ms
  2025-04-22 23:16:42 /assets/js/core/bootstrap.min.js .......................... ~ 518.58ms
  2025-04-22 23:16:42 /assets/js/plugin/jquery-scrollbar/jquery.scrollbar.min.js  ~ 520.02ms
  2025-04-22 23:16:42 /assets/js/plugin/jquery.sparkline/jquery.sparkline.min.js  ~ 518.52ms
  2025-04-22 23:16:42 /assets/js/plugin/chart-circle/circles.min.js ............. ~ 518.85ms
  2025-04-22 23:16:42 /assets/js/plugin/chart.js/chart.min.js ................... ~ 519.83ms
  2025-04-22 23:16:42 /assets/js/plugin/datatables/datatables.min.js .............. ~ 0.14ms
  2025-04-22 23:16:42 /assets/js/plugin/bootstrap-notify/bootstrap-notify.min.js .. ~ 0.13ms
  2025-04-22 23:16:42 /assets/js/plugin/jsvectormap/jsvectormap.min.js ............ ~ 0.18ms
  2025-04-22 23:16:42 /assets/js/plugin/jsvectormap/world.js ...................... ~ 0.87ms
